Date,value
9/30/1945,1561.988889
10/31/1945,1361.872222
11/30/1945,1397.022222
12/31/1945,1409.877778
1/31/1946,1441.338889
2/28/1946,1545.55
3/31/1946,1599.361111
4/30/1946,1641.111111
5/31/1946,1760.388889
6/30/1946,1915.755556
7/31/1946,1800.011111
8/31/1946,1651.894444
9/30/1946,1561.988889
10/31/1946,1456.541176
11/30/1946,1461.741176
12/31/1946,1463.523529
1/31/1947,1463.182353
2/28/1947,1527.347059
3/31/1947,1576.223529
4/30/1947,1559.3
5/31/1947,1633.458824
6/30/1947,1610.5
7/31/1947,1444.570588
8/31/1947,1290.9
9/30/1947,1206.458824
10/31/1947,1330.566667
11/30/1947,1345.006667
12/31/1947,1341.086667
1/31/1948,1345.393333
2/29/1948,1435.926667
3/31/1948,1500.02
4/30/1948,1535.153333
5/31/1948,1663.246667
6/30/1948,1757.933333
7/31/1948,1630.34
8/31/1948,1486.386667
9/30/1948,1400.713333
10/31/1948,1330.566667
11/30/1948,1345.006667
12/31/1948,1341.086667
1/31/1949,1345.393333
2/28/1949,1435.926667
3/31/1949,1500.02
4/30/1949,1535.153333
5/31/1949,1663.246667
6/30/1949,1757.933333
7/31/1949,1630.34
8/31/1949,1486.386667
9/30/1949,1400.713333
10/31/1949,1330.566667
11/30/1949,1345.006667
12/31/1949,1341.086667
1/31/1950,1345.393333
2/28/1950,1435.926667
3/31/1950,1500.02
4/30/1950,1535.153333
5/31/1950,1663.246667
6/30/1950,1757.933333
7/31/1950,1630.34
8/31/1950,1486.386667
9/30/1950,1400.713333
10/31/1950,1361.872222
11/30/1950,1397.022222
12/31/1950,1409.877778
1/31/1951,1441.338889
2/28/1951,1545.55
3/31/1951,1599.361111
4/30/1951,1641.111111
5/31/1951,1760.388889
6/30/1951,1915.755556
7/31/1951,1800.011111
8/31/1951,1651.894444
9/30/1951,1561.988889
10/31/1951,1350.686207
11/30/1951,1366.475862
12/31/1951,1437.32069
1/31/1952,1536.741379
2/29/1952,1611.327586
3/31/1952,1622.724138
4/30/1952,1648.537931
5/31/1952,1802.237931
6/30/1952,1995.331034
7/31/1952,1905.424138
8/31/1952,1758.506897
9/30/1952,1659.665517
10/31/1952,1330.566667
11/30/1952,1345.006667
12/31/1952,1341.086667
1/31/1953,1345.393333
2/28/1953,1435.926667
3/31/1953,1500.02
4/30/1953,1535.153333
5/31/1953,1663.246667
6/30/1953,1757.933333
7/31/1953,1630.34
8/31/1953,1486.386667
9/30/1953,1400.713333
10/31/1953,1330.566667
11/30/1953,1345.006667
12/31/1953,1341.086667
1/31/1954,1345.393333
2/28/1954,1435.926667
3/31/1954,1500.02
4/30/1954,1535.153333
5/31/1954,1663.246667
6/30/1954,1757.933333
7/31/1954,1630.34
8/31/1954,1486.386667
9/30/1954,1400.713333
10/31/1954,1456.541176
11/30/1954,1461.741176
12/31/1954,1463.523529
1/31/1955,1463.182353
2/28/1955,1527.347059
3/31/1955,1576.223529
4/30/1955,1559.3
5/31/1955,1633.458824
6/30/1955,1610.5
7/31/1955,1444.570588
8/31/1955,1290.9
9/30/1955,1206.458824
10/31/1955,1350.686207
11/30/1955,1366.475862
12/31/1955,1437.32069
1/31/1956,1536.741379
2/29/1956,1611.327586
3/31/1956,1622.724138
4/30/1956,1648.537931
5/31/1956,1802.237931
6/30/1956,1995.331034
7/31/1956,1905.424138
8/31/1956,1758.506897
9/30/1956,1659.665517
10/31/1956,1330.566667
11/30/1956,1345.006667
12/31/1956,1341.086667
1/31/1957,1345.393333
2/28/1957,1435.926667
3/31/1957,1500.02
4/30/1957,1535.153333
5/31/1957,1663.246667
6/30/1957,1757.933333
7/31/1957,1630.34
8/31/1957,1486.386667
9/30/1957,1400.713333
10/31/1957,1350.686207
11/30/1957,1366.475862
12/31/1957,1437.32069
1/31/1958,1536.741379
2/28/1958,1611.327586
3/31/1958,1622.724138
4/30/1958,1648.537931
5/31/1958,1802.237931
6/30/1958,1995.331034
7/31/1958,1905.424138
8/31/1958,1758.506897
9/30/1958,1659.665517
10/31/1958,1456.541176
11/30/1958,1461.741176
12/31/1958,1463.523529
1/31/1959,1463.182353
2/28/1959,1527.347059
3/31/1959,1576.223529
4/30/1959,1559.3
5/31/1959,1633.458824
6/30/1959,1610.5
7/31/1959,1444.570588
8/31/1959,1290.9
9/30/1959,1206.458824
10/31/1959,1088.590909
11/30/1959,1085.590909
12/31/1959,1077.554545
1/31/1960,1059.245455
2/29/1960,1079.290909
3/31/1960,1092.072727
4/30/1960,1045.872727
5/31/1960,1084.8
6/30/1960,1051.595455
7/31/1960,929.7681818
8/31/1960,816.6090909
9/30/1960,751.4909091
10/31/1960,1088.590909
11/30/1960,1085.590909
12/31/1960,1077.554545
1/31/1961,1059.245455
2/28/1961,1079.290909
3/31/1961,1092.072727
4/30/1961,1045.872727
5/31/1961,1084.8
6/30/1961,1051.595455
7/31/1961,929.7681818
8/31/1961,816.6090909
9/30/1961,751.4909091
10/31/1961,1330.566667
11/30/1961,1345.006667
12/31/1961,1341.086667
1/31/1962,1345.393333
2/28/1962,1435.926667
3/31/1962,1500.02
4/30/1962,1535.153333
5/31/1962,1663.246667
6/30/1962,1757.933333
7/31/1962,1630.34
8/31/1962,1486.386667
9/30/1962,1400.713333
10/31/1962,1361.872222
11/30/1962,1397.022222
12/31/1962,1409.877778
1/31/1963,1441.338889
2/28/1963,1545.55
3/31/1963,1599.361111
4/30/1963,1641.111111
5/31/1963,1760.388889
6/30/1963,1915.755556
7/31/1963,1800.011111
8/31/1963,1651.894444
9/30/1963,1561.988889
10/31/1963,1456.541176
11/30/1963,1461.741176
12/31/1963,1463.523529
1/31/1964,1463.182353
2/29/1964,1527.347059
3/31/1964,1576.223529
4/30/1964,1559.3
5/31/1964,1633.458824
6/30/1964,1610.5
7/31/1964,1444.570588
8/31/1964,1290.9
9/30/1964,1206.458824
10/31/1964,1350.686207
11/30/1964,1366.475862
12/31/1964,1437.32069
1/31/1965,1536.741379
2/28/1965,1611.327586
3/31/1965,1622.724138
4/30/1965,1648.537931
5/31/1965,1802.237931
6/30/1965,1995.331034
7/31/1965,1905.424138
8/31/1965,1758.506897
9/30/1965,1659.665517
10/31/1965,1330.566667
11/30/1965,1345.006667
12/31/1965,1341.086667
1/31/1966,1345.393333
2/28/1966,1435.926667
3/31/1966,1500.02
4/30/1966,1535.153333
5/31/1966,1663.246667
6/30/1966,1757.933333
7/31/1966,1630.34
8/31/1966,1486.386667
9/30/1966,1400.713333
10/31/1966,1350.686207
11/30/1966,1366.475862
12/31/1966,1437.32069
1/31/1967,1536.741379
2/28/1967,1611.327586
3/31/1967,1622.724138
4/30/1967,1648.537931
5/31/1967,1802.237931
6/30/1967,1995.331034
7/31/1967,1905.424138
8/31/1967,1758.506897
9/30/1967,1659.665517
10/31/1967,1456.541176
11/30/1967,1461.741176
12/31/1967,1463.523529
1/31/1968,1463.182353
2/29/1968,1527.347059
